EarthquakeId,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,EarthquakeMagnitude,EarthquakeMagnitudeType,TraceID,StationLatitude,StationLongitude,StationElevation,fmin,fmax,epi_dist,f0,kappa,magnitude,minimize_message,minimize_success,moment,moment_lnsd,stress_drop,stress_drop_lnsd,R2,mean_squared_error
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK.BRIB.01.HNE,37.91932,-122.15269,237.00,0.07932,37.50000,8.66,0.61455,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,3.62886011E+22,6.02692644E-02,1.40813907E+00,7.17042379E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK.BRIB.01.HNN,37.91932,-122.15269,237.00,0.07932,37.50000,8.66,0.58226,3.50000000E-02,4.4,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,4.01910353E+22,6.74360196E-02,1.32643941E+00,7.88457841E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,BK.BRIB.01.HNZ,37.91932,-122.15269,237.00,0.12023,37.50000,8.66,0.74532,3.50000000E-02,4.2,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.98719956E+22,4.71543978E-02,1.37559066E+00,5.55503183E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58360..HNE,37.90360,-122.06030,40.00,0.13248,75.00000,3.83,0.85293,3.50000000E-02,4.6,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,8.47432060E+22,4.35039873E-02,8.79130854E+00,4.85501624E-02,6.80624875E-01,2.03798525E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58360..HNN,37.90360,-122.06030,40.00,0.13248,75.00000,3.83,1.04610,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.75527923E+22,4.36807751E-02,1.29291673E+01,5.21212830E-02,7.94771846E-01,1.13614483E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58360..HNZ,37.90360,-122.06030,40.00,0.17003,75.00000,3.83,2.07921,3.50000000E-02,4.2,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,2.31151832E+22,3.32097751E-02,3.47381450E+01,4.65715251E-02,5.46602256E-01,8.07856715E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58369..HNE,37.91470,-122.01680,52.00,0.14768,39.41090,4.38,0.58932,3.50000000E-02,4.8,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.74280461E+23,3.35002183E-01,5.96366721E+00,2.46192628E-01,6.35897342E-01,2.25644603E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58369..HNN,37.91470,-122.01680,52.00,0.14768,39.41090,4.38,0.85408,3.50000000E-02,4.6,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,8.95788753E+22,7.49503826E-02,9.33066660E+00,8.48833934E-02,3.85973469E-01,8.27541740E+00
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58369..HNZ,37.91470,-122.01680,52.00,0.12332,58.23668,4.38,1.47046,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,2.85876235E+22,6.38259267E-02,1.51967601E+01,8.62095602E-02,5.83227531E-01,7.95097629E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58442..HNE,37.85630,-122.12410,286.00,0.23066,46.00938,10.82,1.00866,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.01430709E+22,4.90144224E-02,1.03187893E+01,5.41489940E-02,7.29739826E-01,1.67646156E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58442..HNN,37.85630,-122.12410,286.00,0.23066,46.00938,10.82,0.77220,3.50000000E-02,4.7,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.10769022E+23,4.47245718E-02,8.52761417E+00,4.40973186E-02,7.56959173E-01,1.68662941E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,CE.58442..HNZ,37.85630,-122.12410,286.00,0.03867,54.33674,10.82,0.83725,3.50000000E-02,4.7,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.30775270E+23,7.18642972E-02,1.28324731E+01,1.03640523E-01,7.74310569E-02,2.35255968E-01
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C010.01.HNE,37.94400,-122.00993,51.00,0.21671,51.76325,4.19,1.16821,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,2.74041760E+22,3.95254000E-02,7.30460177E+00,4.94107524E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C010.01.HNN,37.94400,-122.00993,51.00,0.21671,51.76325,4.19,0.98367,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,3.42554088E+22,5.12461083E-02,5.45111755E+00,5.69253482E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C010.01.HNZ,37.94400,-122.00993,51.00,0.29604,75.00000,4.19,1.65436,3.50000000E-02,4.1,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.36492030E+22,5.54402266E-02,1.03326172E+01,7.40152479E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C018.01.HNE,37.97930,-122.11738,90.00,0.23227,75.00000,7.01,1.10830,3.50000000E-02,4.6,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,8.65950477E+22,7.13435670E-02,1.97098086E+01,7.48982303E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C018.01.HNN,37.97930,-122.11738,90.00,0.23227,75.00000,7.01,1.36137,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.20233846E+22,2.11139554E-01,2.61637766E+01,1.60320830E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.C018.01.HNZ,37.97930,-122.11738,90.00,0.30648,75.00000,7.01,1.32688,3.50000000E-02,4.4,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,4.09325105E+22,5.02188110E-02,1.59873953E+01,5.40421268E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CRH..HNE,37.85884,-121.99264,259.00,0.12023,37.50000,10.45,0.48605,3.50000000E-02,4.7,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.25152868E+23,9.10872203E-02,2.40268441E+00,9.21424275E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CRH..HNN,37.85884,-121.99264,259.00,0.12023,37.50000,10.45,0.60193,3.50000000E-02,4.6,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,8.55399159E+22,9.56636437E-02,3.11908704E+00,1.03528697E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CRH..HNZ,37.85884,-121.99264,259.00,0.14298,37.50000,10.45,0.82108,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,3.67609003E+22,5.23593154E-02,3.40214313E+00,6.15403233E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CTA..HNE,38.02691,-122.01599,152.00,0.18223,36.60214,10.51,0.58565,3.50000000E-02,4.7,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.24752595E+23,1.17055541E-01,4.18961615E+00,1.14296603E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CTA..HNN,38.02691,-122.01599,152.00,0.18223,36.60214,10.51,0.51123,3.50000000E-02,4.7,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,1.41187309E+23,1.21709444E-01,3.15395388E+00,1.13465589E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NC.CTA..HNZ,38.02691,-122.01599,152.00,0.15864,37.50000,10.51,0.72154,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.73469573E+22,7.06593816E-02,4.22972274E+00,7.66863935E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1844..HNE,37.88520,-122.03217,62.00,0.16424,75.00000,6.25,0.49612,3.50000000E-02,4.8,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,2.05138398E+23,1.28006910E-01,4.18815148E+00,1.06173239E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1844..HNN,37.88520,-122.03217,62.00,0.16424,75.00000,6.25,0.77928,3.50000000E-02,4.6,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,8.37378948E+22,8.88365554E-02,6.62533358E+00,9.31051917E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1844..HNZ,37.88520,-122.03217,62.00,0.20220,75.00000,6.25,0.82185,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.86061632E+22,4.87603050E-02,6.36729211E+00,4.86957075E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1847.10.HNE,38.01286,-122.13458,6.00,0.11613,37.50000,10.75,1.31804,3.50000000E-02,4.5,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,6.04880068E+22,6.14743407E-02,2.31564583E+01,2.56555043E-01,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1847.10.HNN,38.01286,-122.13458,6.00,0.11613,37.50000,10.75,1.47989,3.50000000E-02,4.5,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,True,5.92496375E+22,5.82012160E-02,3.21061664E+01,8.39802597E-02,nan,nan
nc73291880,2019-10-15T05:33:42.810000Z,37.93800,-122.05700,0.01,4.5,mw,NP.1847.10.HNZ,38.01286,-122.13458,6.00,0.15324,37.50000,10.75,1.40666,3.50000000E-02,4.3,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,True,3.68715828E+22,5.08211177E-02,1.71580880E+01,6.76143855E-02,nan,nan
